host,port,sni,criticality,owner,internet_facing
example.com,443,example.com,low,IANA,true
www.iana.org,443,www.iana.org,low,IANA,true
www.example.org,443,www.example.org,low,IANA,true
www.example.net,443,www.example.net,low,IANA,true

badssl.com,443,badssl.com,med,BadSSL,true
expired.badssl.com,443,expired.badssl.com,high,BadSSL,true
self-signed.badssl.com,443,self-signed.badssl.com,high,BadSSL,true
untrusted-root.badssl.com,443,untrusted-root.badssl.com,high,BadSSL,true
wrong.host.badssl.com,443,wrong.host.badssl.com,med,BadSSL,true

rsa2048.badssl.com,443,rsa2048.badssl.com,med,BadSSL,true
rsa4096.badssl.com,443,rsa4096.badssl.com,med,BadSSL,true
rsa8192.badssl.com,443,rsa8192.badssl.com,med,BadSSL,true

sha1-intermediate.badssl.com,443,sha1-intermediate.badssl.com,high,BadSSL,true
tls-v1-0.badssl.com,443,tls-v1-0.badssl.com,critical,BadSSL,true
tls-v1-1.badssl.com,443,tls-v1-1.badssl.com,high,BadSSL,true
tls-v1-2.badssl.com,443,tls-v1-2.badssl.com,med,BadSSL,true
tls13.badssl.com,443,tls13.badssl.com,low,BadSSL,true

www.cloudflare.com,443,www.cloudflare.com,low,Cloudflare,true
developers.cloudflare.com,443,developers.cloudflare.com,low,Cloudflare,true

www.mozilla.org,443,www.mozilla.org,low,Mozilla,true
www.google.com,443,www.google.com,low,Google,true
www.github.com,443,www.github.com,low,GitHub,true
